id_fake_news,information,veracite,explication_resume,explication_details_lien
86,Existe-t-il une maison close zoophile au Danemark où des chiens sont livrés à la prostitution ? ,FAUX,Il s'agit d'un canular du site parodique Secret News.,http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_existe-t-il-une-maison-close-zoophile-au-danemark-ou-des-chiens-sont-livrés-à-la-prostitution
87,Un candidat de Fort Boyard a-t-il été retrouvé dans la cellule d'une épreuve 7 ans après y avoir été oublié ?,FAUX,"Il s'agit d'un canular du Gorafi, repris au premier degré par des sites peu scrupuleux.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_un-candidat-de-fort-boyard-at-il-ete-retrouve-dans-la-cellule-dune-epreuve-7-ans-apres-y-avoir-ete-oublie
88,David Douillet a-t-il perçu 32 000 euros par mois de la Fondation des Pièces jaunes et utilisé des véhicules de celle-ci ? ,FAUX,Un rapport de la Cour des comptes de 2010 indique que les administrateurs de la Fondation et ses parrains n'ont pas été rémunérés et n'ont pas bénéficié de véhicules de fonction.,http://www.lemonde.fr/les-decodeurs/article/2017/07/04/intox-sur-les-pretendus-revenus-de-david-douillet-verses-par-les-pieces-jaunes_5155373_4355770.html
89,Est-il interdit de se maquiller ou de manger en voiture depuis le 1er juillet 2017 ?,FAUX,"Le ministère de l’intérieur a dû publier un démenti, alors que des médias avaient publié des informations erronées sur un soudain durcissement du code de la route.",http://www.lemonde.fr/les-decodeurs/article/2017/07/05/non-il-n-est-pas-interdit-de-se-maquiller-ou-de-manger-en-voiture-depuis-le-1er-juillet_5156227_4355770.html
90,Brigitte Macron a-t-elle raconté « l'enfer qu'elle a vécu » ?,FAUX,"Brigitte Macron n'a jamais tenu les propos qui lui sont prêtés. Et pour cause : ils ont été inventés par un site parodique, Secret News, avant d'être relayés par des sites peu fiables.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_brigitte-macron-a-t-elle-raconte-lenfer-quelle-a-vecu
91,Un bébé est-il  trop fragile » pour supporter des vaccins ?,FAUX,"Les différentes études réalisées sur le sujet montrent que les réponses immunitaires des bébés sont loin d'être perturbées par les vaccins. A l'inverse, elles concluent que l'absence de vaccination leur fait courir un danger bien supérieur.",http://www.lemonde.fr/les-decodeurs/article/2017/07/11/antivaccins-des-mensonges-dans-un-debat-legitime_5159187_4355770.html
92,Les parents qui refusent la vaccination iront-ils en prison ?,FAUX,"En théorie, les parents qui ne vaccinent pas leurs enfants sont tout à fait passibles de poursuites. Mais cette loi est très rarement appliquée, encore moins pour des peines de prison ferme.",http://www.lemonde.fr/les-decodeurs/article/2017/07/11/antivaccins-des-mensonges-dans-un-debat-legitime_5159187_4355770.html
93,L'obligation vaccinale est-elle une exception française ?,FAUX,"Il existe en réalité des situations très variables d’un pays à l’autre, avec à chaque fois leurs subtilités. Une chose est certaine : l’affirmation selon laquelle la France serait le seul pays à rendre des vaccins obligatoires relève du mensonge.",http://www.lemonde.fr/les-decodeurs/article/2017/07/11/antivaccins-des-mensonges-dans-un-debat-legitime_5159187_4355770.html
94,Les vaccins sont-ils inutiles ?,FAUX,"Les campagnes de vaccination à travers le monde ont prouvé leur grande efficacité en réduisant grandement l’incidence de nombreuses maladies infectieuses. L’OMS estime que la vaccination évite entre deux et trois millions de morts chaque année, en luttant principalement contre la diphtérie, le tétanos, la coqueluche et la rougeole. ",http://www.lemonde.fr/les-decodeurs/article/2016/09/16/les-vaccins-sont-ils-vraiment-dangereux-pour-la-sante_4998681_4355770.html
95,Les vaccins combinés sont-ils moins sûrs ?,FAUX,"Aucune étude n'accrédite l'hypothèse selon laquelle les vaccins combinés comme l'hexavalent seraient moins sûrs. D'ailleurs, ces nouveaux vaccins contiennent beaucoup moins de molécules antigéniques que ceux qui étaient utilisés dans les années 1970 et 1980 et qui protégeaient contre moins de maladies.",http://www.lemonde.fr/les-decodeurs/article/2017/07/11/antivaccins-des-mensonges-dans-un-debat-legitime_5159187_4355770.html
96,Les bébés européens recevront-ils une puce sous la peau ?,FAUX,"Il s'agit d'une histoire inventée par le site parodique le Jurafi, reprise à tort au premier degré par des sites peu scrupuleux. Contrairement à ce qu'on peut lire sur le sujet depuis des années, les nouveaux-nés européens n'auront donc pas de puce sous la peau prochainement.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_les-bebes-europeens-recevront-ils-une-puce-sous-la-peau
97,La justice européenne a-t-elle reconnu le lien entre sclérose en plaques et hépatite B ? ,FAUX,"La justice européenne s'est prononcée sur une question de forme relative au droit européen. Mais elle ne s’est en aucun cas exprimée spécifiquement sur la controverse autour du vaccin contre l’hépatite B, contrairement à ce qui a pu être écrit par ailleurs. Les études scientifiques, elles, n'établissent pas de lien entre la vaccination contre l'hépatite B et la sclérose en plaques.",http://www.lemonde.fr/les-decodeurs/article/2017/07/12/vaccin-contre-l-hepatite-b-et-sclerose-en-plaques-non-la-justice-europeenne-n-a-pas-reconnu-le-lien_5159670_4355770.html
98,Le dîner entre Emmanuel Macron et Donald Trump à la Tour Eiffel a-t-il coûté 80 000 ou 150 000 euros ? ,FAUX,"Il s'agit d'un canular du site belge nordpresse.be, pris ensuite au premier degré par certains. ",http://www.lemonde.fr/les-decodeurs/article/2017/07/17/la-fausse-addition-a-82-000-euros-du-diner-entre-emmanuel-macron-et-donald-trump_5161675_4355770.html
99,La Suède a-t-elle rejetté l'obligation vaccinale à cause « de graves problèmes de santé » ?,FAUX,"Les députés suédois ont rejetté une mesure visant à rendre la vaccination obligatoire, mais restent favorables aux vaccins et se félicitent que 96 % des enfants de deux ans soient à jour pour les neuf vaccins recommandés dans le pays.",http://www.lemonde.fr/les-decodeurs/article/2017/07/18/non-la-suede-n-a-pas-interdit-les-vaccins-obligatoires-a-cause-de-problemes-de-sante_5162076_4355770.html
100,L'Islande paye-t-elle 4500 euros par mois les hommes qui épouseraient une islandaise ? ,FAUX,"Il s'agit d'un canular relayé notamment sur le site actualite.co, qui sert à fabriquer des blagues de toutes pièces.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_lislande-paye-t-elle-4500-euros-par-mois-les-hommes-qui-epouseraient-une-islandaise
101,Les vaccins sont-ils « contaminés par des nanoparticules toxiques » ?,FAUX,"Certes, des chercheurs ont trouvé des traces de nanoparticules dans des vaccins, mais à des concentrations tellement faibles qu'elles ne mettent pas en cause la sécurité de ceux-ci.",http://www.lemonde.fr/les-decodeurs/article/2017/07/19/les-vaccins-sont-ils-contamines-par-des-nanoparticules-toxiques_5162626_4355770.html
102,La prime de rentrée scolaire va-t-elle être supprimée ?,FAUX,"Il s'agit d'une affirmation mensongère, relayée sans aucune source pour l'accréditer par des sites qui n'ont pas vocation à faire de l'information. Le gouvernement n'a jamais annoncé une telle mesure, l'allocation de rentrée scolaire sera donc versée à la rentrée 2017 aux foyers éligibles.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_la-prime-de-rentree-scolaire-va-t-elle-etre-supprimee-a-la-rentree-2017
103,Est-il vraiment dangereux de briser un flacon de vaccin ?,FAUX,"Il s'agit d'une affirmation mensongère : si les vaccins ne doivent pas être jetés à la poubelle mais en pharmacie, comme le reste des médicaments, c'est simplement pour des raisons environnementales.",http://www.lemonde.fr/les-decodeurs/article/2017/07/20/est-il-vraiment-dangereux-de-briser-un-flacon-de-vaccin_5163061_4355770.html
104,"Le portrait officiel d'Emmanuel Macron va-t-il coûter 2,77 millions d'euros aux mairies ?",FAUX,"Les mairies ne sont pas tenues d'afficher le portrait du président. Par ailleurs, la photographie du président leur est fournie gratuitement et elles peuvent acheter un cadre pour moins de 10 euros.",http://www.lemonde.fr/les-decodeurs/article/2017/07/21/fausse-polemique-sur-les-millions-que-couterait-le-portrait-du-president-macron-aux-mairies_5163404_4355770.html
105,Brigitte Macron est-elle née en 1943 et pas en 1953 selon Wikileaks ? ,FAUX,"Il s'agit d'un canular du site Secret News, repris au premier degré par des sites peu scrupuleux.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_brigitte-macron-est-elle-nee-en-1943-et-pas-en-1953-selon-wikileaks
106,Les vaccins envoyés en Afrique contiennent-ils des agents anti-fertilité ? ,FAUX,"Il s'agit d'une rumeur infondée, largement démentie par l'Unicef et l'OMS.",http://www.lemonde.fr/les-decodeurs/article/2017/07/25/non-les-vaccins-envoyes-en-afrique-ne-visent-pas-a-steriliser-les-jeunes-femmes_5164768_4355770.html
107,"Les vaccins contiennent-ils « du porc, du chien et du fœtus humain » ?",FAUX," Des cellules vivantes sont utilisées pour cultiver les virus ciblés par certains vaccins, mais sont absentes de la composition finale des vaccins. Seuls les stablilisants utilisés dans quelques rares vaccins (un seul à destination des enfants, avec une alternative) peuvent contenir des matières premières d'origine animale.",http://www.lemonde.fr/les-decodeurs/article/2017/07/24/les-vaccins-contiennent-ils-du-porc-du-chien-et-du-f-tus-humain_5164373_4355770.html
108,L’allaitement peut-il remplacer les vaccins chez les nouveau-nés ?,FAUX,L'allaitement est loin de protéger contre toutes les maladies visées par les vaccins.,http://www.lemonde.fr/les-decodeurs/article/2017/07/26/l-allaitement-peut-il-remplacer-les-vaccins-chez-les-nouveau-nes_5165052_4355770.html
109,Le gouvernement veut-il supprimer la prime de Noël ? ,FAUX,"Il s'agit d'un canular du site actualitesdujour.fr, à ne pas prendre au sérieux. Le gouvernement n'a pas annoncé une telle mesure.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_le-gouvernement-veut-il-supprimer-la-prime-de-noel
110,Ces photos montrent-elles des djihadistes qui tentent de fuir Mossoul déguisés en femmes ?,FAUX,"Comme l'ont montré Les Observateurs de France 24, il s'agit en réalité de clichés anciens qui ne peuvent donc pas montrer des djihadistes fuyant Mossoul. Il est en revanche déjà arrivé que cette technique soit utilisée par des djihadistes, notamment lors de la bataille de Falloujah en 2016.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_ces-photos-montrent-elles-des-djihadistes-qui-tentent-de-fuir-mossoul-deguises-en-femmes
111,Des migrants ont-ils été retrouvés congelés dans un restaurant chinois à Paris ? ,FAUX,"Il s'agit d'un canular du site parodique belge Nordpresse, repris au premier degré par des sites peu scrupuleux. Les images d'illustration sont fausses également. Elles sont tirées d'une campagne publicitaire pour le jeu Resident Evil à Londres en 2012. ",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_des-migrants-ont-ils-ete-retrouves-congeles-dans-un-restaurant-chinois-a-paris
112,Bill Gates a-t-il déclaré que les vaccins sont la meilleure solution pour faire baisser la population ? ,FAUX,"Interrogé en 2011 sur CNN, Bill Gates a indiqué espérer que le développement des programmes de vaccination dans le monde aboutisse à une réduction de moitié de la mortalité infantile. Selon lui, un tel progrès devrait engendrer, à terme, une baisse des naissances, et donc une baisse de l'accroissement de la population. Ceci non pas parce que les vaccins tueraient ou rendraient stériles, mais parce qu'à son sens, une baisse de la mortalité infantile conduira les parents à concevoir moins d'enfants. Par ailleurs, Bill Gates s'est dit à plusieurs reprises opposé à toute forme de contrôle des naissances.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_bill-gates-a-t-il-declare-que-les-vaccins-sont-la-meilleure-solution-pour-faire-baisser-la-population
113,Les pommes d'aujourd'hui contiennent-elles cent fois moins de vitamine C que celles des années 1950 ?,FAUX,"La comparaison qui arrive à cette conclusion est complètement erronée pour plusieurs raisons liées à sa méthodologie. Il est en revanche avéré que nos aliments contiennent, d'une manière générale, plutôt moins de nutriments qu'auparavant, mais dans des proportions bien moins spectaculaires.",http://www.lemonde.fr/les-decodeurs/article/2016/10/12/qualite-nutritive-des-aliments-des-inquietudes-et-des-exagerations_5012617_4355770.html
114,Multiplier les vaccins nuit-il à l’immunité des enfants ?,FAUX,"Les vaccins protègent contre les maladies qu’ils ciblent et ils ne fragilisent pas les défenses immunitaires, comme l'ont montré les études scientifiques indépendantes sur la question.",http://www.lemonde.fr/les-decodeurs/article/2017/07/27/multiplier-les-vaccins-nuit-il-a-l-immunite-des-enfants_5165765_4355770.html
115,Un navire viking a-t-il été découvert près du Mississippi ? ,FAUX,Il s'agit d'un canular du site satirique américain worldnewsdailyreport.com.,http://www.lemonde.fr/les-decodeurs/article/2017/07/28/un-navire-viking-retrouve-pres-du-mississippi-michel-onfray-berne-par-un-site-satirique_5166168_4355770.html
116,Un Chinois a-t-il été « investé par les vers » après avoir mangé des sushis ?,FAUX,"Il s'agit en réalité d'une fausse information relayée par de nombreux sites peu scrupuleux. Les images radios qui ont circulé en ligne sont authentiques, mais elle montrait un patient atteint d'une infection après avoir mangé du porc. Les points blancs qu'on voit à l'image montrent en réalité des kystes calcifiés et pas des ténias (bien présents dans le corps du patient, mais invisibles à l'image).",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_un-chinois-a-t-il-ete-investe-par-les-vers-apres-avoir-mange-des-sushis
117,Un retraité français a-t-il moins de droits garantis qu'un migrant ? ,FAUX,"L'Allocation de solidarité aux personnes âgées garantit (sous conditions de ressources) un revenu minimum de 800 euros par mois pour une personne seule sans revenus. Parmis les migrants, seuls les demandeurs d'asile ont droit à une aide d'environ 300 euros par mois, qui est donc bien inférieure au montant garanti à tous les Français.",http://www.lemonde.fr/les-decodeurs/article/2016/11/07/les-intox-du-fn-sur-les-privileges-des-migrants-face-aux-francais_5026857_4355770.html
118,Une étude a-t-elle prouvé que les mesures démontrant le réchauffement climatique sont manipulées ? ,FAUX,"L'étude qui prétend remettre en cause les conclusions des spécialistes du climat comporte de nombreux biais, comme le détaillent plusieurs spécialistes sur le site Climate Feedback. Il est notamment faux d'affirmer que le réchauffement climatique n'aurait été mis en évidence que grâce à un ajustement des données.",https://climatefeedback.org/evaluation/breitbart-article-falsely-claims-measured-global-warming-fabricated-james-delingpole/
119,Les sans-papiers ont-ils des « privilèges » en matière de protection santé comme le fait d'avoir accès à des cures thermales gratuites ? ,FAUX,"Cette rumeur, qui a circulé par mail et sur les réseaux sociaux, comporte de nombreuses fausses affirmations. Elle confond notamment la CMU et l'aide médicale d'Etat, deux dispositifs différents adressés à des publics différents. Surtout, elle affirme à tort que l'aide médicale d'Etat rembourserait des soins de « luxe » comme les cures thermales, ce qui est complètement mensonger.",http://www.lemonde.fr/les-decodeurs/article/2017/08/30/les-mensonges-d-un-message-qui-denonce-le-cout-des-soins-accordes-aux-sans-papiers_5178644_4355770.html
120,Samy Naceri est-il mort en août 2017 ?,FAUX,"Il s'agit d'une rumeur sans fondement, relayée par des sites peu scrupuleux fin août 2017.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_sami-naceri-est-il-mort-en-août-2017
121,Y a-t-il eu des évasions de détenus de la prison de Pointe-Blanche à Saint-Martin après le passage de l'ouragan Irma ?,FAUX,"Un pan du mur extérieur de la prison s'est effondré, mais le mur intérieur a tenu bon et aucun détenu ne s'est évadé, selon les autorités. Situation à ne pas confondre avec une réelle évasion aux Iles vierges britanniques, qui n'ont rien à voir avec Saint-Martin.",http://www.lemonde.fr/les-decodeurs/article/2017/09/11/irma-attention-aux-rumeurs-sur-la-situation-a-saint-martin_5184022_4355770.html#huit-anchor-pas-d-evasion-de-det
122,Le côté hollandais de l'île de Saint-Martin a-t-il été préservé des émeutes et pillages après le passage de l'ouragan Irma ? ,FAUX,"Il y a bien eu des pillages et autres troubles à l’ordre public du côté néerlandais de Saint-Martin, de l’aveu même des autorités locales et du premier ministre, Mark Rutte.",http://www.lemonde.fr/les-decodeurs/article/2017/09/11/irma-attention-aux-rumeurs-sur-la-situation-a-saint-martin_5184022_4355770.html#huit-anchor-gilbert-collard-ment
123,La sous-préfète de Saint-Martin s'est-elle enfuie après le passage de l'ouragan Irma ? ,FAUX,"Anne Laubiès était présente à Saint-Martin avant et pendant le passage d’Irma, le mercredi 6 septembre. La représentante de l’Etat a ensuite été mobilisée dans la gestion de la crise au jour le jour, l'envoyé spécial du Monde l'ayant notamment lui-même vue sur place le vendredi, le samedi et le dimanche.",http://www.lemonde.fr/les-decodeurs/article/2017/09/11/irma-attention-aux-rumeurs-sur-la-situation-a-saint-martin_5184022_4355770.html#huit-anchor-la-sous-prefete-de-s
124,Y a-t-il eu des centaines voire « plus d’un millier » de morts cachées à Saint-Martin à cause de l’ouragan Irma ? ,FAUX,"Le bilan provisoire de la catastrophe faisait état, au 13 septembre, d'au moins une douzaine de morts. Aucun élément connu n'accrédite les allégations selon lesquelles des centaines de morts voire plus auraient été cachés.",http://www.lemonde.fr/les-decodeurs/article/2017/09/13/on-nous-cache-des-morts-aux-racines-des-rumeurs-sur-l-ouragan-irma_5185138_4355770.html
125,La compagnie Air France a-t-elle quadruplé le prix de ses billets davion avant l'arrivée d'Irma à Saint-Martin ?,FAUX,"Contrairement à ce que certaines rumeurs ont tenté de faire croire, la compagnie n'a pas utilisé l'ouragan pour augmenter ses profits.",http://www.lemonde.fr/les-decodeurs/article/2017/09/11/irma-attention-aux-rumeurs-sur-la-situation-a-saint-martin_5184022_4355770.html
126,L'ouragan Irma va-t-il frapper de nouveau la France le 16 septembre ? ,FAUX,Attention à cette rumeur lancée par un site peu scrupuleux qui diffuse régulièrement de fausses informations et demande à ses lecteurs de partager des articles sur Facebook avant de pouvoir les lire.,http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_louragan-irma-va-t-il-frapper-de-nouveau-la-france-le-16-septembre
127,Le scientifique américain Michio Kaku a-t-il affirmé que « l'ouragan Irma a été créé par l'arme manipulatrice du climat HAARP » ?,FAUX,"Contrairement à ce qu'on peut lire sur certains sites peu fiables, ce scientifique n'a jamais évoqué une prétendue fabrication de l'ouragan Irma par une arme climatique. Michio Kaku a dit par la suite que les gros titres sur Irma mentionnant son nom étaient « 100 % faux ».",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_le-scientifique-americain-michio-kaku-a-t-il-affirme-que-louragan-irma-a-ete-cree-par-larme-manipulatrice-du-climat-haarp
128,Un migrant a-t-il plus de droits en matière de logement qu'un Français ? ,FAUX,"Contrairement à ce qu'affirme l'article, les Français ne sont pas privés d'aides en matière de logement et les migrants sont loin d'en bénéficier automatiquement.",http://www.lemonde.fr/les-decodeurs/article/2016/11/07/les-intox-du-fn-sur-les-privileges-des-migrants-face-aux-francais_5026857_4355770.html
129,Des pédophiles remplaceront-ils les animaux lors d'essais cliniques aux USA ? ,FAUX,"Attention, il s'agit d'un canular lancé par le site satirique Secret News.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_des-pedophiles-remplaceront-ils-les-animaux-lors-dessais-cliniques-aux-usa
130,Ces images montrent-elles des violences policières en Catalogne le 1er octobre 2017 ? ,FAUX,Il s'agit d'une image manipulée.,http://www.lemonde.fr/les-decodeurs/article/2017/10/02/violences-policieres-en-catalogne-attention-aux-images-trompeuses_5194905_4355770.html
131,"Le tireur responsable de la fusillade de Las Vegas le 1er octobre 2017 est-il Geary Danley, un militant de gauche anti-Trump ? ",FAUX,Le nom du tireur est Stephen Paddock. Le nom de Geary Danley a été jeté en pâture par des internautes scrupuleux sans preuve.,http://www.lemonde.fr/les-decodeurs/article/2017/10/02/las-vegas-comment-l-alt-right-a-jete-en-pature-le-nom-d-un-homme-qui-n-etait-pas-le-tireur_5195040_4355770.html
132,L'Etat veut-il « promouvoir la pédophilie à l'école » ?,FAUX,"Sous couvert de critiquer les programmes d'éducation sexuelle, un pédopsychiatre accuse sans fondement ceux qui les ont élaborés de vouloir favoriser la pédophilie. Le site onsexprime.fr, notamment, pose au contraire très clairement un cadre face aux différents abus sexuels dont un mineur pourrait être victime.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_letat-veut-il-promouvoir-la-pedophilie-a-lecole
133,Y avait-il un « deuxième tireur » au 4e étage de l’hôtel Mandalay Bay lors de la fusillade de Las Vegas ? ,FAUX,"Seules deux fenêtres de l'hôtel ont été brisées et ont donc pu permettre de tirer depuis une chambre : celles de la suite du 32e étage où Stephen Paddock a été retrouvé mort. Par ailleurs, les flashs pris pour des détonations ont été observés au même endroit avant et après la fusillade.",http://www.lemonde.fr/les-decodeurs/article/2017/10/05/fusillade-a-las-vegas-non-il-n-y-avait-pas-de-deuxieme-tireur-au-4e-etage-de-l-hotel_5196759_4355770.html
134,Nicolas Sarkozy est-il mort le 5 octobre 2017 ? ,FAUX,Il s'agit d'une rumeur erronée lancée par un site peu scrupuleux.,http://www.lemonde.fr/verification/source/realy-news-one/
135,"Jean-Luc Mélenchon a-t-il un patrimoine de 2,5 millions d'euros révélé par le Canard enchaîné ? ",FAUX,"Le prétendu article du Canard Enchaîné censé relayer cette information n'existe pas. Par ailleurs, Jean-Luc Mélenchon a dû déclarer son patrimoine lors de la présidentielle 2017. On y trouve des biens d'une valeur totale d'environ un million d'euros,  sans présence d'un prétendu appartement de 218 m² à Paris.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_jean-luc-melenchon-a-t-il-un-patrimoine-de-25-millions-deuros-revele-par-le-canard-enchaine
136,Une femme a-t-elle « développé un QI de 220 après avoir bu du sperme tous les jours pendant un an » ? ,FAUX,"Il s'agit d'un canular inventé par le site satirique américain worldnewsdailyreport.com, repris par la suite au premier par de nombreux sites francophones peu scrupuleux.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_une-femme-a-t-elle-developpe-un-qi-de-220-apres-avoir-bu-du-sperme-tous-les-jours-pendant-un-an
137,"Jesus Compos est-il le « deuxième tireur » de la fusillade de Las Vegas, arrêté par la police ? ",FAUX,Cette fausse information a été diffusée par un site usurpant le nom et le logo du réseau de télévision américain CNN. Aucune information issue de l’enquête n’est venue pour l’heure incriminer un potentiel deuxième tireur qui aurait œuvré aux côtés de Stephen Paddock.,http://www.lemonde.fr/les-decodeurs/article/2017/10/13/fusillade-de-las-vegas-un-faux-cnn-diffuse-des-intox-sur-un-pretendu-deuxieme-tireur_5200315_4355770.html
138,L'Union européenne veut-elle supprimer les allocations chômage pour les personnes en surpoids ?,FAUX,"Il s'agit d'un canular du site belge Nordpresse, repris ensuite au premier degré par des sites peu scrupuleux.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_lunion-europeenne-veut-elle-supprimer-les-allocations-chomage-pour-les-personnes-en-surpoids
139,Brad Pitt a-t-il affirmé que « l'élite pédophile d'Hollywood contrôle l'Amérique » ? ,FAUX,"Il s'agit d'une citation inventée par Neon Nettle, un site américain qui diffuse régulièrement de fausses informations. Brad Pitt n'a jamais prononcé les phrases qui lui sont imputées sur la pédophilie à Hollywood.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_brad-pitt-a-t-il-affirme-que-lelite-pedophile-dhollywood-controle-lamerique
140,Un sous-préfet a-t-il demandé à remplacer le porc par de l'agneau dans le pâté lorrain ? ,FAUX,"Imed Bentaleb, sous-préfet de Meurthe-et-Moselle, a dès 2016 dénoncé ces mensonges, se disant « consterné ». L'affaire a ensuite été portée en justice et un internaute qui avait relayé la rumeur sur sa page Facebook a été condamné en mars 2017 pour « diffamation » et « provocation à la haine raciale ».",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_un-sous-prefet-a-t-il-demande-a-remplacer-le-porc-par-de-lagneau-dans-le-pate-lorrain
141,Une employée de morgue a-t-elle été « arrêtée après avoir donné naissance au bébé d’un homme mort » ? ,FAUX,"Il s'agit en réalité d'un canular d'un site satirique américain, repris au premier degré par des sites peu scrupuleux.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_une-employee-de-morgue-a-t-elle-ete-arretee-apres-avoir-donnee-naissance-au-bebe-dun-homme-mort
142,A-t-on retrouvé des plants de cannabis au manoir de Jean-Marie Le Pen à Montretout ? ,FAUX,Il s'agit en réalité d'un canular du site SecretNews.fr. Les affirmations contenues dans les articles qui relaient cette rumeur sont donc complètement imaginaires.,http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_a-t-on-retrouve-des-plants-de-cannabis-au-manoir-de-jean-marie-le-pen-a-montretout
143,Le gouvernement veut-il faire payer aux priopriétaires une partie de terrain dont-il veut les exproprier ? ,FAUX,"Une telle mesure a bien été proposée par France stratégie, un organisme de réflexion économique qui dépend de Matignon. Mais il n'a jamais été question pour le gouvernement de la mettre en application. Au contraire, l'entourage du premier ministre Edouard Philippe a qualifié l'idée de farfelue et irréaliste. ",http://www.lemonde.fr/les-decodeurs/article/2017/10/20/non-le-gouvernement-ne-va-pas-remettre-en-cause-le-droit-de-propriete_5203896_4355770.html
144,La Serbie est-elle devenue un point chaud de la prostitution zoophile ? ,FAUX,"Une association de défense du droit des animaux serbe affirme, sans en donner la preuve, avoir des informations sur un établissement de prostitution zoophile. L'image d'un chien en collants qui accompagne certains articles relayant cette rumeur est quant à elle sortie de son contexte : elle ne montre pas un établissement de prostitution d'animaux mais une blague douteuse qui circule sur les réseaux sociaux depuis au moins plusieurs mois. ",http://www.lemonde.fr/les-decodeurs/article/2017/10/23/scandale-zoophile-en-serbie-aucune-preuve-formelle-derriere-les-gros-titres_5204873_4355770.html
145,Un verre de vin rouge peut-il remplacer une heure de sport intensif ? ,FAUX,"Des gros titres mensongers déforment profondément le sens d'une réelle étude canadienne de 2012. Celle-ci ne dit pas qu'un verre de vin remplace le sport, mais qu'une substance qu'on retrouve dans le vin (mais pas que) peut aider à améliorer les performances si on fait beaucoup d'activités physiques. Et le vin n'en contient pas assez pour être efficace...",http://www.lemonde.fr/les-decodeurs/article/2016/01/26/non-un-verre-de-vin-rouge-n-equivaut-pas-a-une-heure-de-sport_4853949_4355770.html
146,Le patron de Facebook Mark Zuckerberg a-t-il déclaré : « Les Arabes sont le seul peuple qui me fait regretter d’avoir créé Facebook ! » ?,FAUX,"Mark Zuckerberg n'a en réalité jamais tenu ces propos, qui sont sortis de l'imagination du site parodique marocain AkhnaPress.com.",http://www.lemonde.fr/le-blog-du-decodex/article/2017/07/05/l-annuaire-des-fausses-informations-du-decodex_5156215_5095029.html#episode_le-patron-de-facebook-mark-zuckerberg-a-t-il-declare-les-arabes-sont-le-seul-peuple-qui-me-fait-regretter-davoir-cree-facebook
